1,2,3,4,5,6,7,8,target
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.12632404
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941844
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11359384
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.0932892
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.664355176
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.70028788
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.24509376
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.26733684
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13335876
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252032
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.023662096
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.69782984
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.93522932
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.231704
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.98790924
424.0,22.0,132.0,178.0,8.48,882.0,750.0,3,32.01138571527068
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.05140104
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.300132
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29309728
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.033934256
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28,31.178794196
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.70028788
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.694722036
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100,40.56876784
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5009994
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.354550568
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.322814728
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.568648
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100,42.34761592
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852751999999995
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.80422888
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56,66.78067543054136
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,10.222171176
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09498796
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52010476
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.730314988
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.5748832
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.6440906
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.20100736
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.79811352
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.5798194
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28,76.23536132
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24445432
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.746162964
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506
387.0,20.0,94.0,157.0,11.61,938.0,845.0,3,34.77027468
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72331036
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.8686899
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.053469468
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79421652
387.0,20.0,94.0,157.0,13.93,938.0,845.0,28,46.68441996
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08313688
